Date,Open,High,Low,Close ,Adj Close ,Volume
24-Oct-25,17.02,17.22,16.02,16.37,16.37,-
23-Oct-25,18.36,19.35,17.08,17.3,17.3,-
22-Oct-25,17.84,21.01,17.73,18.6,18.6,-
21-Oct-25,18.65,18.89,17.4,17.87,17.87,-
20-Oct-25,20.53,21.02,18.23,18.23,18.23,-
17-Oct-25,28.41,28.99,20.73,20.78,20.78,-
16-Oct-25,20.49,25.43,19.85,25.31,25.31,-
15-Oct-25,20.02,22.44,19.11,20.64,20.64,-
14-Oct-25,21.46,22.94,19.18,20.81,20.81,-
13-Oct-25,19.45,20.77,18.61,19.03,19.03,-
10-Oct-25,16.36,22.44,16.23,21.66,21.66,-
9-Oct-25,16.31,17.27,16.26,16.43,16.43,-
8-Oct-25,17.17,17.2,16.23,16.3,16.3,-
7-Oct-25,16.58,17.55,16.19,17.24,17.24,-
6-Oct-25,16.74,17.09,16.29,16.37,16.37,-
3-Oct-25,16.35,17.06,16.2,16.65,16.65,-
2-Oct-25,16.12,16.92,15.93,16.63,16.63,-
1-Oct-25,17.28,17.28,15.98,16.29,16.29,-
30-Sep-25,16.49,16.7,16.02,16.28,16.28,-
29-Sep-25,15.84,16.29,15.74,16.12,16.12,-
26-Sep-25,16.89,17.05,15.29,15.29,15.29,-
25-Sep-25,16.55,17.74,16.32,16.74,16.74,-
24-Sep-25,16.57,17.21,16.18,16.18,16.18,-
23-Sep-25,16.1,17.07,15.95,16.64,16.64,-
22-Sep-25,16.14,16.35,15.78,16.1,16.1,-
19-Sep-25,15.76,16.13,15.29,15.45,15.45,-
18-Sep-25,14.93,15.8,14.33,15.7,15.7,-
17-Sep-25,16.42,16.75,15.26,15.72,15.72,-
16-Sep-25,15.6,16.38,15.44,16.36,16.36,-
15-Sep-25,15.14,15.84,14.92,15.69,15.69,-
12-Sep-25,14.62,14.97,14.41,14.76,14.76,-
11-Sep-25,15.19,15.24,14.65,14.71,14.71,-
10-Sep-25,14.98,15.63,14.63,15.35,15.35,-
9-Sep-25,15.02,15.82,14.97,15.04,15.04,-
8-Sep-25,15.58,15.65,14.99,15.11,15.11,-
5-Sep-25,15.23,16.92,14.74,15.18,15.18,-
4-Sep-25,16.22,16.35,15.28,15.3,15.3,-
3-Sep-25,17.4,17.57,16.34,16.35,16.35,-
2-Sep-25,16.65,19.38,16.55,17.17,17.17,-
29-Aug-25,14.31,15.97,14.31,15.36,15.36,-
28-Aug-25,14.42,14.69,14.12,14.43,14.43,-
27-Aug-25,14.66,15.23,14.66,14.85,14.85,-
26-Aug-25,15.75,15.75,14.62,14.62,14.62,-
25-Aug-25,15.05,15.19,14.24,14.79,14.79,-
22-Aug-25,16.81,16.83,14.21,14.22,14.22,-
21-Aug-25,15.72,17.24,15.65,16.6,16.6,-
20-Aug-25,15.95,17.19,15.57,15.69,15.69,-
19-Aug-25,15.23,15.91,14.76,15.57,15.57,-
18-Aug-25,15.73,15.95,14.95,14.99,14.99,-
15-Aug-25,14.43,15.18,14.4,15.09,15.09,-
